game_id,competition_id_x,season,round,date_x,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,home_club_formation,away_club_formation,home_club_name,away_club_name,aggregate,competition_type,appearance_id,player_id_x,date_y,player_name_x,competition_id_y,yellow_cards,red_cards,goals,assists,minutes_played,name,last_season,current_club_id,player_code,country_of_birth,date_of_birth,sub_position,position_x,foot,height_in_cm,market_value_in_eur,highest_market_value_in_eur,contract_expiration_date,agent_name,game_lineups_id,type_x,number,player_name_y,team_captain,position_y,game_event_id,date,minute,type_y,player_id_y,description,player_in_id,player_assist_id
2222756,RU1,2012,22. Matchday,2013-03-30,1,0,7.0,12.0,Dan Petrescu,Miodrag Bozovic,Arena Khimki,6067.0,Aleksey Eskov,,,FK Dinamo Moskva,FK Rostov,0 days 01:00:00,domestic_league,2222756_104203,104203,2013-03-30,Eugene Starikov,RU1,0,0,0,0,9,Eugene Starikov,2015,6992,eugene-starikov,UdSSR,1988-11-17,Centre-Forward,Attack,right,175.0,,500000.0,,Prosport,,,,,,,,,,,,,,
2602666,UKR1,2015,13. Matchday,2015-11-01,1,1,11.0,8.0,Oleksandr Babych,Volodymyr Mazyar,Stadion Chornomorets (2011),4152.0,Anatoliy Zhabchenko,,,ZAO FK Chornomorets Odessa,PFK Stal Kamyanske (-2018),0 days 01:01:00,domestic_league,2602666_104203,104203,2015-11-01,Eugene Starikov,UKR1,0,0,0,0,86,Eugene Starikov,2015,6992,eugene-starikov,UdSSR,1988-11-17,Centre-Forward,Attack,right,175.0,,500000.0,,Prosport,,,,,,,1c2780567209f30e212c5449a0ce6257,2015-11-01,86.0,Substitutions,104203.0,,292570.0,
2222721,RU1,2012,17. Matchday,2012-11-23,2,0,12.0,16.0,Miodrag Bozovic,Vladimir Bibikov,Olimp-2,5500.0,Sergey Karasev,,,FK Rostov,Mordovia Saransk (-2020),0 days 02:00:00,domestic_league,2222721_104203,104203,2012-11-23,Eugene Starikov,RU1,0,0,0,0,72,Eugene Starikov,2015,6992,eugene-starikov,UdSSR,1988-11-17,Centre-Forward,Attack,right,175.0,,500000.0,,Prosport,,,,,,,4a15d1fff4f476f48bb60092c61641d5,2012-11-23,72.0,Substitutions,104203.0,", Tactical",15583.0,
2601719,UKR1,2015,12. Matchday,2015-12-06,2,2,10.0,11.0,Oleksandr Sevidov,Oleksandr Babych,OSK Metalist,3735.0,Igor Paskhal,,,Metalist Kharkiv (- 2016),ZAO FK Chornomorets Odessa,0 days 02:02:00,domestic_league,2601719_104203,104203,2015-12-06,Eugene Starikov,UKR1,0,0,0,0,7,Eugene Starikov,2015,6992,eugene-starikov,UdSSR,1988-11-17,Centre-Forward,Attack,right,175.0,,500000.0,,Prosport,,,,,,,,,,,,,,
2624308,UKR1,2015,19. Matchday,2016-03-19,1,2,12.0,6.0,Oleksandr Babych,Volodymyr Sharan,Stadion Chornomorets (2011),3500.0,Dmytro Kutakov,,,ZAO FK Chornomorets Odessa,FK Oleksandriya,0 days 01:02:00,domestic_league,2624308_104203,104203,2016-03-19,Eugene Starikov,UKR1,0,0,0,0,83,Eugene Starikov,2015,6992,eugene-starikov,UdSSR,1988-11-17,Centre-Forward,Attack,right,175.0,,500000.0,,Prosport,,,,,,,484992ecafb02ebb64fec0baadd548b1,2016-03-19,83.0,Substitutions,104203.0,,269669.0,
2222755,RU1,2012,20. Matchday,2013-03-09,0,0,15.0,11.0,Valeriy Gazzaev,Miodrag Bozovic,Republican Stadium Spartak,15200.0,Sergey Lapochkin,,,Spartak Vladikavkaz (-2020),FK Rostov,0 days 00:00:00,domestic_league,2222755_104203,104203,2013-03-09,Eugene Starikov,RU1,0,0,0,0,28,Eugene Starikov,2015,6992,eugene-starikov,UdSSR,1988-11-17,Centre-Forward,Attack,right,175.0,,500000.0,,Prosport,,,,,,,,,,,,,,
2601711,UKR1,2015,11. Matchday,2015-10-18,5,2,11.0,12.0,Oleksandr Babych,Anatoliy Chantsev,Stadion Chornomorets (2011),4844.0,Sergiy Lysenchuk,,,ZAO FK Chornomorets Odessa,Metalurg Zaporizhya (-2016),0 days 05:02:00,domestic_league,2601711_104203,104203,2015-10-18,Eugene Starikov,UKR1,0,0,1,0,65,Eugene Starikov,2015,6992,eugene-starikov,UdSSR,1988-11-17,Centre-Forward,Attack,right,175.0,,500000.0,,Prosport,,,,,,,25650034428dab9d2ad27b9491668097,2015-10-18,4.0,Goals,104203.0,", Right-footed shot, 2. Goal of the Season",,
2601711,UKR1,2015,11. Matchday,2015-10-18,5,2,11.0,12.0,Oleksandr Babych,Anatoliy Chantsev,Stadion Chornomorets (2011),4844.0,Sergiy Lysenchuk,,,ZAO FK Chornomorets Odessa,Metalurg Zaporizhya (-2016),0 days 05:02:00,domestic_league,2601711_104203,104203,2015-10-18,Eugene Starikov,UKR1,0,0,1,0,65,Eugene Starikov,2015,6992,eugene-starikov,UdSSR,1988-11-17,Centre-Forward,Attack,right,175.0,,500000.0,,Prosport,,,,,,,ad669a79681712debfc3253f92993cec,2015-10-18,65.0,Substitutions,104203.0,,354717.0,
2602672,UKR1,2015,14. Matchday,2015-11-07,0,2,11.0,9.0,Oleksandr Babych,Roman Sanzhar,Stadion Chornomorets (2011),3264.0,Sergiy Berezka,,,ZAO FK Chornomorets Odessa,Olimpik Donetsk,0 days 00:02:00,domestic_league,2602672_104203,104203,2015-11-07,Eugene Starikov,UKR1,0,0,0,0,74,Eugene Starikov,2015,6992,eugene-starikov,UdSSR,1988-11-17,Centre-Forward,Attack,right,175.0,,500000.0,,Prosport,,,,,,,bc5cf86127f984ff69d472d1be77b965,2015-11-07,74.0,Substitutions,104203.0,,354717.0,
2222782,RU1,2012,29. Matchday,2013-05-17,3,2,11.0,14.0,Rustem Khuzin,Miodrag Bozovic,Zvezda,16100.0,Aleksey Nikolaev,,,Amkar Perm,FK Rostov,0 days 03:02:00,domestic_league,2222782_104203,104203,2013-05-17,Eugene Starikov,RU1,0,0,2,0,35,Eugene Starikov,2015,6992,eugene-starikov,UdSSR,1988-11-17,Centre-Forward,Attack,right,175.0,,500000.0,,Prosport,,,,,,,daa97877f7edf2fda885b411d7197921,2013-05-17,63.0,Goals,104203.0,", Right-footed shot, 1. Goal of the Season Assist: , Pass, 2. Assist of the Season",,15077.0
